model,type,n_rows,n_malignant,n_benign,external_auc,internal_auc,delta_external_minus_internal,ci_lo,ci_hi,sens_at_0p5,spec_at_0p5,opt_thresh,sens_at_opt,spec_at_opt,source,n_unique_findings
EfficientNet-B0,DL,814,74,740,0.8152757487216946,0.8632,-0.04792425127830535,0.7660283509861213,0.8656174671292916,0.40540540540540543,0.9391891891891891,0.32177734,0.8108108108108109,0.6945945945945946,data/predictions/lndb_dl/efficientnet_b0_baseline_lndb_preds.csv,439
ResNet-18,DL,814,74,740,0.8117969320672023,0.8564,-0.04460306793279778,0.7581428049671293,0.8629779948867786,0.4189189189189189,0.9351351351351351,0.3786621,0.6486486486486487,0.8770270270270271,data/predictions/lndb_dl/resnet18_baseline_lndb_preds.csv,439
DenseNet-121,DL,814,74,740,0.8071402483564646,0.8327,-0.02555975164353541,0.7566887326515704,0.8619708728999269,0.47297297297297297,0.904054054054054,0.36767578,0.6756756756756757,0.8256756756756757,data/predictions/lndb_dl/densenet121_baseline_lndb_preds.csv,439
STU-Net,DL,814,74,740,0.8031135865595325,0.8722,-0.06908641344046751,0.7433521274653032,0.8627839663988313,0.2702702702702703,0.9783783783783784,0.22131348,0.6351351351351351,0.8851351351351351,data/predictions/lndb_dl/stunet_base_warmup_lndb_preds.csv,439
ResNet-50,DL,814,74,740,0.7617786705624543,0.8167,-0.054921329437545685,0.7034064554419285,0.813617604090577,0.6486486486486487,0.7716216216216216,0.47460938,0.7162162162162162,0.7513513513513513,data/predictions/lndb_dl/resnet50_baseline_lndb_preds.csv,439
ViT-Base,DL,814,74,740,0.6834094229364499,0.6933,-0.009890577063550121,0.620584596420745,0.741559304236669,0.3108108108108108,0.8770270270270271,0.44921875,0.6486486486486487,0.6756756756756757,data/predictions/lndb_dl/vit_baseline_lndb_preds.csv,439
Swin-UNETR,DL,814,74,740,0.6659149013878743,0.7999,-0.1339850986121257,0.6019699598246896,0.7329090577063551,0.35135135135135137,0.8432432432432433,0.30297852,0.7702702702702703,0.4918918918918919,data/predictions/lndb_dl/swin_unetr_final_gpu_lndb_preds.csv,439
Gemini 3 Flash Preview 20-shot rich,VLM,814,74,740,0.654035792549306,0.6995,-0.045464207450694016,0.5929095142439738,0.7193256939371804,0.5540540540540541,0.6918918918918919,0.75,0.5540540540540541,0.6918918918918919,results/vlm/lndb_external/f2_gemini3flash_20shot_rich.jsonl,439
Gemini 3 Flash Preview zero-shot rich,VLM,814,74,740,0.641663623082542,0.6823,-0.04063637691745803,0.5762171292914536,0.7100198593864133,0.24324324324324326,0.9364864864864865,0.18,0.2702702702702703,0.9243243243243243,results/vlm/lndb_external/z2_gemini3flash_zeroshot_rich.jsonl,439
