condition,n,auc,ci_lo,ci_hi
F2 image-only,917,0.6994654143776952,0.6394088915470495,0.7543200646819068
F3 image+text,917,0.7394190442436056,0.6837089831059129,0.7993171850079744
F0 text-only,917,0.6926797211884932,0.6337534703762774,0.7461502820603697
