a,b,n,auc_a,auc_b,delta_a_minus_b,p
F3 image+text,F0 text-only,917,0.7394190442436056,0.6926797211884931,0.046739323055112525,0.016508355220537174
F3 image+text,F2 image-only,917,0.7394190442436056,0.699465414377695,0.039953629865910556,0.3406952322113759
