family,n_paired,auc_image_only,auc_image_text,metadata_lift,lift_ci_lo,lift_ci_hi,lift_delong_p,auc_text_only,text_only_vs_imgtext_delong_p,recovery_frac
Gemini-3-Flash (ref),917,0.6822685923563117,0.7295912339771989,0.047322641620887174,-0.028486620591883675,0.12197911128832187,0.23023616044115514,,,
anthropic_claude-opus-4-8@default,917,0.4966994506468191,0.7296503042117077,0.23295085356488882,0.17205091854214657,0.2931295779431743,6.128431095930864e-14,0.718833067517278,0.26607350240748096,0.9535642968081397
google_gemini-3-flash-preview,917,0.5080778545690826,0.7224215842636895,0.2143437296946069,0.12625764221158958,0.2998862897985705,1.963474809407728e-06,0.7206199421111702,0.8961078143440966,0.9915946122842676
google_gemini-3.1-pro-preview,917,0.5155059365585681,0.7289709965148562,0.21346505995628806,0.12532008683324464,0.2948213863784039,8.873504500073182e-07,0.7125937739972827,0.16359986136981708,0.9232791421653405
openai_gpt-5.5-2026-04-23,917,0.5,0.7115231259968102,0.21152312599681022,0.15207871847126242,0.2738368701636244,2.867817094909242e-11,0.7029653257723433,0.22454790333947017,0.9595420113798999
